TS_ID,PL_ID,StartDate,HistoryValue_1,HistoryValue_2,HistoryValue_3,HistoryValue_4,HistoryValue_5,HistoryValue_6,HistoryValue_7,HistoryValue_8,HistoryValue_9,HistoryValue_10,HistoryValue_11,HistoryValue_12,HistoryValue_13,HistoryValue_14,HistoryValue_15,HistoryValue_16,HistoryValue_17,HistoryValue_18,HistoryValue_19,HistoryValue_20,HistoryValue_21,HistoryValue_22,HistoryValue_23,HistoryValue_24,HistoryValue_25,HistoryValue_26,HistoryValue_27,HistoryValue_28,HistoryValue_29,HistoryValue_30,HistoryValue_31,HistoryValue_32,HistoryValue_33,HistoryValue_34,HistoryValue_35,HistoryValue_36
TS_22,PL_999,1/1/2016,"31,175","13,950","20,500","18,475","9,975","25,225","29,825","40,000","10,375","12,230","27,400","29,325","31,150","20,375","54,082","38,910","31,432","33,970","26,825","35,475","25,225","22,850","18,375","50,850","27,150","32,150","39,170","32,225","23,600","45,883","30,675","51,750","35,225","53,375","34,350","29,635"
TS_23,PL_999,1/1/2016,"5,000","42,850","22,315","25,010","26,235","17,925","15,485","20,000","21,235","22,385","21,700","20,965","18,090","41,330","24,456","18,635","22,775","19,932","39,246","37,626","18,216","16,345","51,973","25,580","20,570","28,206","19,996","14,420","53,370","35,962","27,740","20,740","21,575","22,050","57,150","26,630"
TS_24,PL_999,1/1/2016,"2,000","26,000","58,000","32,000","4,000","34,000","34,000","4,000","5,000","55,000","3,000","34,000","34,000","7,000","35,000","36,500","5,000","5,000","27,000",,"30,000","20,000","45,000",,"20,000","49,000","28,500","48,500","6,000",,"86,000",,,"26,100","27,000","6,200"
TS_25,PL_999,1/1/2016,"20,800","34,690","33,180","38,360","11,400","30,140","13,010","28,230","51,210","10,400","27,900","52,820","29,680",,"39,550","38,690","10,400","36,340","15,500","60,720","28,920","33,020",,"42,760","6,590","29,040","88,340","26,660","43,780","19,400","38,880","11,600","22,590","34,160","17,300","16,510"
TS_26,PL_999,1/1/2016,,"17,410","6,150","5,660","24,100","16,560","16,560","1,900","61,805","22,160","20,025","40,360","27,150","28,690","43,200","31,985","42,660","16,505","21,000","45,060","29,200","22,360","36,660","28,700","36,835","25,100","44,930","27,640","22,535","16,075","23,000","28,145","34,500","31,785","15,335","36,265"
TS_27,PL_999,1/1/2016,"55,850","56,050","55,310","56,150","56,030","36,410","37,440","38,000","55,940","59,760","57,000","37,800","75,020","37,250","57,440","1,800","56,880","56,220","37,240","37,530","19,000","56,600","75,440","18,260","38,000","19,000","20,440","33,000","33,490","32,720","16,720","32,440","32,080","36,080","38,080","37,105"
TS_28,PL_999,1/1/2016,,"9,600","28,800","19,200","9,600","28,800","19,200","28,800","38,400","38,400","28,800",,"19,200","28,800","33,000","19,200","28,800","19,200","38,400","38,400","19,200","28,800","38,400","38,400","19,200","19,200","9,600","48,000","38,400","9,600","19,200",,,,,
TS_29,PL_999,1/1/2016,"19,560","17,360","18,640","21,090","35,280","36,000","18,130","20,840","16,640","25,715","21,090","19,360","21,090","36,000","17,360","17,360","35,280","19,360","36,410","18,640","37,280","19,810","19,360","19,360","34,720","19,090","37,280","14,720","40,080","21,090","17,360","36,000","37,730","18,160","20,590","18,640"
TS_30,PL_999,1/1/2016,"48,070","18,010","29,300","54,170","50,130","40,020","17,000","75,750","23,090","26,000","12,000","29,380","14,320","67,080","17,970","3,500",,"31,050","19,970","12,790","13,000","13,900","23,940","21,300",,"18,390","33,210","13,000","13,640","19,820","15,900","7,800","23,200","17,480","17,830","34,560"
TS_31,PL_999,1/1/2016,,,"27,000","27,000","18,000","18,000","18,000","18,000","27,000","18,000","18,000","18,000","18,000","18,000","9,000","18,000","18,000","18,000","27,000","18,000","18,000","18,000","18,000","27,000","22,950","27,000","27,000","18,000","9,000","18,000","36,000","18,000","18,000","18,000","18,000","36,000"
TS_32,PL_999,1/1/2016,,"63,000","72,000",,,"36,000","27,000","53,500","35,000","72,000",,,"4,000",,,"40,050","8,100","6,300","36,000","36,000",,"7,200",,"36,000","36,900","40,950",,,,,"2,000",,"61,900","54,000","40,950","35,940"
TS_33,PL_999,1/1/2016,"20,450","35,850","27,525","40,520","16,150","25,545","20,275","34,745","28,625","4,075","54,200","12,600","2,245","7,400","45,150","60,810","24,625","26,490","14,725","22,825","19,000","17,500","13,950","15,450","17,175","18,525","5,375","73,065","34,550","25,475","12,700","16,825",500,"39,100","13,225","10,075"
TS_34,PL_999,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,880","38,240","82,040","77,680",,,,,"95,080"
TS_35,PL_999,1/1/2016,500,"5,250","2,500",,500,,"2,500",,"20,000","22,480","30,220","11,960","20,500","23,720","25,365","19,200","30,000","23,530","22,160","25,600","27,550","24,400","27,600","14,935","27,710","27,020","24,790","30,695","21,160","25,200","25,450","28,250","24,850","27,925","23,980","20,850"
TS_36,PL_999,1/1/2016,"14,770","34,410","36,840","40,920","15,820","40,370","28,450","37,660",,"50,470","26,560","52,730","27,050",,"38,820","14,595","11,450","28,280","27,360","23,900","2,500","12,480","41,775","16,450","31,900","28,660","26,450","22,300","30,250","39,590","27,030","15,680","14,940","12,340","35,590","27,630"
TS_37,PL_999,1/1/2016,"1,805","3,315","21,310","22,570","5,205","1,000",100,"9,550","23,320","12,030","9,020","8,665","14,985","18,240","12,700","15,000","16,700","6,800","13,200","10,200","12,350","14,190","16,600","18,450","12,340","29,950","18,200","16,380","10,200","11,620","26,055","9,625","8,600","32,860","10,350","11,690"
TS_38,PL_999,1/1/2016,,"37,000","12,000","12,000","24,000",300,"3,200",,"28,500","12,210",50,"34,000","18,500","17,000","24,000","45,150","25,500","17,245","17,000","33,500","32,100","59,050","17,050",,"17,200","10,000","12,000","38,000","28,000","15,000","27,000","14,000","22,000","24,300","14,200","33,000"
TS_39,PL_999,1/1/2016,"81,910","65,370","51,360","50,010","54,820","45,970","34,970","55,340","18,720","65,700","17,360","17,240","32,160","48,640","14,600","31,160","28,100","35,720","59,910","51,330","32,390","15,360","95,050","15,200","66,440","63,360","96,180","44,180","84,150","63,620",,,,"12,960",,
