TS_ID,PL_ID,StartDate,HistoryValue_1,HistoryValue_2,HistoryValue_3,HistoryValue_4,HistoryValue_5,HistoryValue_6,HistoryValue_7,HistoryValue_8,HistoryValue_9,HistoryValue_10,HistoryValue_11,HistoryValue_12,HistoryValue_13,HistoryValue_14,HistoryValue_15,HistoryValue_16,HistoryValue_17,HistoryValue_18,HistoryValue_19,HistoryValue_20,HistoryValue_21,HistoryValue_22,HistoryValue_23,HistoryValue_24,HistoryValue_25,HistoryValue_26,HistoryValue_27,HistoryValue_28,HistoryValue_29,HistoryValue_30,HistoryValue_31,HistoryValue_32,HistoryValue_33,HistoryValue_34,HistoryValue_35,HistoryValue_36
TS_60,PL_999,1/1/2016,,,,,,,,,,,,,,,"27,500","14,850","46,750","13,200","28,000","19,550","21,500","30,750","27,250","13,000","23,200","14,000","26,250","33,560","12,600","31,000","35,500","33,850","20,200","22,100","12,000","27,100"
TS_61,PL_999,1/1/2016,"11,000",,"10,000",,"12,500","16,000",,"10,000","16,000","10,000","6,000","12,000",,"18,000","4,000","20,000","14,000","22,000","26,000","8,000","13,000","4,000",,,"17,000","15,000","28,000",,,,"3,000",,,,,
TS_62,PL_999,1/1/2016,"4,765","2,380","2,925","4,550","4,870","2,980","17,950","81,100","5,610","6,670","9,345","2,670","4,250","6,040","2,770","4,600",,"7,295",,"32,140","29,050","33,575","44,325","18,770","3,700","2,175","7,685","4,640","12,600","11,300","1,950","44,470","16,900","7,800","16,540","3,040"
TS_63,PL_999,1/1/2016,"23,460","26,100","54,700","32,250","41,980","30,100","17,600","45,500","35,800","33,070","42,600","34,070","29,480","47,000","26,125","34,720","7,600","14,600","35,150","65,000","27,880","51,065","46,400","26,500","45,400","30,000","14,000","31,000",,,,,,,200,50
TS_64,PL_999,1/1/2016,"20,000","40,000","30,000","30,000","20,000","20,000","30,000","20,000","20,000","30,000","30,000","28,000","30,000","10,000","23,500","56,500","32,000","40,000","70,000","10,000","60,000","30,000","30,000","50,000","20,000","20,000",,"25,000","10,000",,,,,,"1,000",
TS_65,PL_999,1/1/2016,,,"33,800","7,790","15,570","14,885","17,960","18,200","17,910","17,685","17,960","17,870","19,020","3,000","15,150","17,810","18,010","18,050","18,270","18,710","18,020","17,660","17,750","17,820","17,650","17,760","14,810","19,220","35,775","35,700","23,955","17,800",,"37,330","35,970","26,000"
TS_66,PL_999,1/1/2016,"25,520","2,440","22,280","19,800","6,000","3,240","23,780",,"26,520","15,360","1,500",,,"24,280",,"23,280","1,000","24,780",,"28,510","2,000","23,700",,"3,240","17,280",,"24,220","17,280","2,000","11,240",,"37,020","16,280",400,"19,260",
TS_67,PL_999,1/1/2016,"1,150","1,200",600,"1,250",630,"14,520","16,800","4,800","15,615","13,680","11,880","10,200","10,200","12,120","19,200","24,480","15,450","15,000","12,360",600,"17,760","17,280","14,760","9,960","10,200","14,520","18,120","16,680","14,520","15,960","9,600","7,560","8,160","24,720","7,320","14,760"
TS_68,PL_999,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS_69,PL_999,1/1/2016,"18,720","3,960","18,720","34,560","18,360",,"21,960","18,720","18,720","18,720","1,800","21,960","12,960","24,480","14,760","28,080",,"20,880",,,,"15,120",,"18,720","16,920",,"18,720",,"3,600","18,720","4,320","10,330","23,040","18,720","18,720","18,720"
