id,date,value,method,abc6,abc6Value,abc9,abc9Value,abc12,abc12Value,xyz6,xyz9,xyz12
Becky Cameron,2019-11-01,79947,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2019-12-01,98716,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-01-01,61369,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-02-01,66231,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-03-01,67317,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-04-01,108457,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-05-01,113412,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-06-01,74999,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-07-01,106475,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-08-01,115259,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-09-01,129942,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-10-01,106025,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-11-01,214287,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2020-12-01,140455,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-01-01,179188,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-02-01,148830,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-03-01,243117,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-04-01,147428,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-05-01,178553,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-06-01,184839,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-07-01,119303,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-08-01,161947,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-09-01,254244,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-10-01,218068,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-11-01,234789,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2021-12-01,212906,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-01-01,175359,,C,1232263,C,1698352,A,2267450,x,x,x
